12000,2610,238 2
11000,2320,227 0
10000,2030,217 0
9000,1740,206 0
8000,1460,196 0
7000,1170,186 0
6000,880,175 0
5000,590,165 0
4000,310,155 0
3000,20,144 0
2000,-270,134 0
1000,-560,124 0
0,-840,113 0
-1000,-1130,103	0
-2000,-1420,93 0
-3000,-1710,82 0
-4000,-1990,72 0
-5000,-2280,62 0
-6000,-2570,51 0
-7000,-2860,41 0
-8000,-3140,31 0
-9000,-3430,20 0
-10000,-3720,10 0
-4000,-4000,0 3
-6000,-4290,11 0
-8000,-4580,21 0
-10000,-4870,32 0
-14000,-4870,50 1
-14000,-4870,100 0
-10000,-3000,114 0
-8000,-2000,128 0
-5000,-1000,142 0
-2000,-600,157 0
1000,1200,171 0
2420,2000,185 0
4000,3000,200 0
7000,4380,214 0
9000,5100,228 0
11000,5200,242 0
14000,5600,257 6
20000,6000,200 6
