12120,500,100 2
9696,568,100 0
7272,636,100 0
4848,704,100 0
2424,772,100 0
0,840,100 0
-952,-64,100 0
-1904,-968,100 0
-2856,-1872,100 0
-3808,-2776,100 0
-4760,-3680,100 3
-5408,-3344,100 0
-6056,-3008,100 0
-6704,-2672,100 0
-7352,-2336,100 0
-8000,-2000,100 1
-6400,-1500,100 0
-4800,-1000,100 0
-3200,-500,100 0
-1600,0,100 0
0,500,100 0
1008,1118,100 0
2016,1736,100 0
3024,2354,100 0
4032,2972,100 0
5039,3588,100 3
5412,3776,100 0
5785,3964,100 0
6158,4152,100 0
6531,4340,100 0
6902,4529,100 3
